pool_id,project,project_name,chain,symbol,tvl_usd,current_apy,apy_base,apy_reward,stablecoin
256cca8a-b88a-47d6-9297-a47858cccbb3,pendle,Pendle,Ethereum,YSUSDC,1278380,8.91546,8.91546,,True
e5314f0a-4976-4333-a964-93a24289e314,curve-dex,Curve,Ethereum,ETH-FXN,1264415,0.99043,0.99,0.00043,False
eab7c75b-da3a-43e3-b401-05555b2e06c8,pendle,Pendle,Ethereum,SAID,1238126,11.71793,10.85706,0.86087,True
cf4bd97c-79ea-44b6-a13e-e23345aa3dcb,pendle,Pendle,Ethereum,SAID,1238126,13.42963,13.42963,,True
7e871eb8-f746-4af2-958d-1239bce4508e,curve-dex,Curve,Ethereum,CRVUSD-SUSDE,1223959,5.5287,3.03,2.4987,True
b640d150-56b8-4bfa-b39b-460d1f9d3229,curve-dex,Curve,Ethereum,PXETH-STETH,1217502,0.63,0.63,0,False
168a12f8-56b3-47e6-86d6-9de16bcb45ec,curve-dex,Curve,Ethereum,DOLA-DBR-INV,1208188,4,4,0,False
85f878ab-9ae3-4524-afa5-f1356dfb361f,euler-v2,Euler V2,Arbitrum,USDC,1202342,6.52997,6.52997,,True
b03c1486-fde6-4f75-a89a-068f9aa19d0f,curve-dex,Curve,Ethereum,FRAX-FPI,1195094,0,0,0,True
e3189532-eced-4e95-8c38-4a9fa04e4879,curve-dex,Curve,Ethereum,DGNETH-ETH+,1188725,3.24725,2.46,0.78725,False
42f2dff5-903c-48d5-97ae-a80b3d874568,curve-dex,Curve,Ethereum,MUSD-SUSDE,1174662,9.49061,0.9,8.59061,True
d11b8de5-fb4c-40f6-9d7c-6d3440a77c91,curve-dex,Curve,Ethereum,USDC-USDU,1139653,0.85443,0.66,0.19443,True
64c51378-01a3-4277-a625-90b72edfbe88,curve-dex,Curve,Ethereum,WETH-PETH,1130776,0,0,0,False
420ad40c-2aab-4996-bb65-643d1ead3bfc,compound-v3,Compound V3,Arbitrum,EZETH,1127951,0,,,False
0cac92be-caaa-4cec-8f5a-712629a588c8,pendle,Pendle,Ethereum,REUSDE,1124975,14.04675,14.04675,,True
701b8025-5a56-43c0-ac68-ebebc05aae0e,pendle,Pendle,Ethereum,REUSDE,1124975,21.95445,14.97023,6.98422,True
4fcac035-f39c-4238-bc87-4c4cfe0b3092,curve-dex,Curve,Ethereum,OUSD-3CRV,1118433,0.01,0.01,0,False
efb10ba5-532a-407f-9324-ff86e25b003b,curve-dex,Curve,Base,CRVUSD-TBTC-WETH,1115047,5.45787,0.08,5.37787,False
1cfa57c8-2c94-4c3d-869f-a3ae98cfb370,curve-dex,Curve,Ethereum,WETH-RSUP,1110371,15.35753,1.64,13.71753,False
9cf39876-6292-414c-9a4f-d09346c48e07,curve-dex,Curve,Ethereum,LBTC-WBTC,1105370,0,0,0,False
e49aa70c-f29b-4509-a477-f2dc2e0259f8,curve-dex,Curve,Ethereum,ECFX-ETH,1077592,0.33003,0.33,3e-05,False
fa087a6f-bc17-4752-9ac4-2b190503925f,curve-dex,Curve,Ethereum,GHO-CRVUSD,1068981,3.9461,0.23,3.7161,True
681faca0-5f8d-4341-9ba8-7ef8e73968a3,curve-dex,Curve,Ethereum,USD3-SCRVUSD,1062362,3.76425,0.41,3.35425,True
80830d6a-cc86-4f87-93ae-b9765d799619,curve-dex,Curve,Ethereum,AZGNIT-LPF-B-USDC,1049980,0,0,0,False
7e930482-8162-4992-8d7d-de4126ae63dc,curve-dex,Curve,Ethereum,USDC-LIUSD-1W,1045361,5.03,5.03,0,False
d44d0684-a5a4-44cb-be02-f53623b52efd,kamino-lend,Kamino Lend,Solana,HSOL,1028971,0.00164,0.00164,,False
ca3710b5-67f2-4df8-8710-64335a6c0933,compound-v3,Compound V3,Base,TBTC,1024734,0,,,False
5c261e22-424c-4cda-a68c-1907ac5f25b7,curve-dex,Curve,Ethereum,FRAX-FPI,1023647,3.25011,3.25,0.00011,True
4cd5ea56-75f6-449c-b134-cb76e4f86d10,curve-dex,Curve,Ethereum,MSUSD-FXUSD,1023555,5.6987,0,5.6987,True
1154a4a6-8b2d-4241-aee8-d489d15da2f5,pendle,Pendle,Arbitrum,GMETH(WETH-WETH),1017268,3.70388,3.68504,0.01883,False
157dfe04-c535-49f3-8357-936730e6bf04,pendle,Pendle,Arbitrum,GMETH(WETH-WETH),1017268,4.97197,4.97197,,False
f2776afe-8e1d-4edb-81af-863c0edd50ff,curve-dex,Curve,Arbitrum,WETH-RSETH,1010695,0.76,0.76,0,False
80011215-3cbe-4d82-b6c6-5b7a69f729ce,curve-dex,Curve,Ethereum,BOLD-LUSD,1009549,0.08,0.08,0,True
c372279e-92ff-4acc-ad90-14a4d3a888e4,compound-v3,Compound V3,Base,CBETH,1006661,0,,,False
