date,pool_id,symbol,project,chain,tvl_usd,daily_fees,jlp_fees,apy,apy_base,apy_reward
2024-08-12,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,664770731,673895,505421.25,27.7507,27.7507,0
2024-08-13,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,674410193,433543,325157.25,17.598,17.598,0
2024-08-14,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,695033358,518828,389121.0,20.4349,20.4349,0
2024-08-15,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,685833567,712773,534579.75,28.4503,28.4503,0
2024-08-16,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,681237397,624660,468495.0,25.1015,25.1015,0
2024-08-17,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,679276507,208716,156537.0,8.4113,8.4113,0
2024-08-18,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,685044180,398353,298764.75,15.9186,15.9186,0
2024-08-19,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,694307166,386779,290084.25,15.2498,15.2498,0
2024-08-20,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,689977021,497664,373248.0,19.7449,19.7449,0
2024-08-21,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,695089169,442371,331778.25,17.4221,17.4221,0
2024-08-22,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,695427443,244371,183278.25,9.6195,9.6195,0
2024-08-23,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,691060469,774209,580656.75,30.6688,30.6688,0
2024-08-24,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,710100636,580729,435546.75,22.3876,22.3876,0
2024-08-25,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,714681111,407219,305414.25,15.598,15.598,0
2024-08-26,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,722404763,522385,391788.75,19.7954,19.7954,0
2024-08-27,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,714267007,1014340,760755.0,38.8756,38.8756,0
2024-08-28,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,688814681,789790,592342.5,31.388,31.388,0
2024-08-29,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,684748328,544012,408009.0,21.7486,21.7486,0
2024-08-30,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,681499069,633149,474861.75,25.4328,25.4328,0
2024-08-31,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,681277962,209981,157485.75,8.4374,8.4374,0
2024-09-01,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,674732279,679519,509639.25,27.5692,27.5692,0
2024-09-02,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,669612375,546286,409714.5,22.3332,22.3332,0
2024-09-03,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,677862070,546615,409961.25,22.0747,22.0747,0
2024-09-04,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,657822212,793282,594961.5,33.0121,33.0121,0
2024-09-05,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,670498332,519552,389664.0,21.2122,21.2122,0
2024-09-06,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,653873389,1041156,780867.0,43.5889,43.5889,0
