date,symbol,ticker,open,high,low,close,volume
2023-06-30,SOL,SOL-USD,17.97,19.86,17.31,18.9,1120379648
2023-07-01,SOL,SOL-USD,18.9,18.97,17.95,18.68,349552752
2023-07-02,SOL,SOL-USD,18.69,19.7,18.58,19.45,497231250
2023-07-03,SOL,SOL-USD,19.45,19.61,18.94,19.24,324227812
2023-07-04,SOL,SOL-USD,19.24,19.88,19.1,19.14,345225951
2023-07-05,SOL,SOL-USD,19.15,19.36,18.5,18.99,260416081
2023-07-06,SOL,SOL-USD,18.99,20.92,18.89,19.73,903770571
2023-07-07,SOL,SOL-USD,19.73,21.6,19.32,21.48,988591308
2023-07-08,SOL,SOL-USD,21.49,22.4,21.36,21.86,693929963
2023-07-09,SOL,SOL-USD,21.85,22.32,21.09,21.35,405174806
2023-07-10,SOL,SOL-USD,21.35,21.78,20.57,21.31,543191863
2023-07-11,SOL,SOL-USD,21.31,22.29,21.24,22.09,453810523
2023-07-12,SOL,SOL-USD,22.09,22.71,21.83,21.98,541605988
2023-07-13,SOL,SOL-USD,21.98,26.62,21.49,26.03,1527996472
2023-07-14,SOL,SOL-USD,26.02,30.06,25.43,26.74,2184090884
2023-07-15,SOL,SOL-USD,26.73,29.06,26.69,27.39,1323279744
2023-07-16,SOL,SOL-USD,27.4,28.55,26.9,27.38,753056132
2023-07-17,SOL,SOL-USD,27.39,28.38,25.9,26.87,970813262
2023-07-18,SOL,SOL-USD,26.87,27.05,24.82,25.54,696782373
2023-07-19,SOL,SOL-USD,25.55,26.92,25.42,26.37,603189951
2023-07-20,SOL,SOL-USD,26.37,26.9,25.17,25.38,606255421
2023-07-21,SOL,SOL-USD,25.38,25.95,25.14,25.54,410907584
2023-07-22,SOL,SOL-USD,25.54,25.95,24.31,24.54,335432006
2023-07-23,SOL,SOL-USD,24.53,25.21,24.25,24.77,330741258
2023-07-24,SOL,SOL-USD,24.77,24.81,23.07,23.38,492344649
2023-07-25,SOL,SOL-USD,23.38,23.53,22.86,23.28,346742173
2023-07-26,SOL,SOL-USD,23.28,25.52,23.21,25.18,688135176
2023-07-27,SOL,SOL-USD,25.18,25.59,24.72,25.1,514211484
2023-07-28,SOL,SOL-USD,25.1,25.47,24.58,24.85,374045446
2023-07-29,SOL,SOL-USD,24.84,25.37,24.78,25.17,265061245
2023-07-30,SOL,SOL-USD,25.17,25.19,23.85,24.26,365262222
2023-07-31,SOL,SOL-USD,24.26,24.75,23.66,23.72,376948332
2023-08-01,SOL,SOL-USD,23.72,24.0,23.09,24.0,428254164
2023-08-02,SOL,SOL-USD,23.99,24.22,22.98,23.15,393185796
2023-08-03,SOL,SOL-USD,23.14,23.35,22.54,22.64,365983702
2023-08-04,SOL,SOL-USD,22.63,23.52,22.52,22.79,382245804
2023-08-05,SOL,SOL-USD,22.79,22.9,22.33,22.63,250613466
2023-08-06,SOL,SOL-USD,22.63,23.42,22.6,23.19,320595154
2023-08-07,SOL,SOL-USD,23.19,23.5,22.49,23.07,353804981
2023-08-08,SOL,SOL-USD,23.07,24.73,23.02,24.21,495649796
2023-08-09,SOL,SOL-USD,24.21,24.95,24.19,24.38,447009018
2023-08-10,SOL,SOL-USD,24.38,24.81,24.15,24.61,339616018
2023-08-11,SOL,SOL-USD,24.61,24.87,24.36,24.58,314045619
2023-08-12,SOL,SOL-USD,24.59,25.11,24.41,24.91,253389584
2023-08-13,SOL,SOL-USD,24.91,24.91,24.24,24.24,263449955
2023-08-14,SOL,SOL-USD,24.24,25.23,24.1,25.14,359715099
2023-08-15,SOL,SOL-USD,25.15,25.24,23.76,23.9,424193111
2023-08-16,SOL,SOL-USD,23.9,23.99,22.49,22.81,441171937
2023-08-17,SOL,SOL-USD,22.81,23.38,20.3,21.71,620931325
2023-08-18,SOL,SOL-USD,21.71,22.17,21.09,21.34,411279768
2023-08-19,SOL,SOL-USD,21.34,22.15,21.32,21.88,244048976
2023-08-20,SOL,SOL-USD,21.88,22.0,21.63,21.77,198853112
2023-08-21,SOL,SOL-USD,21.77,21.78,20.68,21.21,339125910
2023-08-22,SOL,SOL-USD,21.21,21.25,19.74,20.55,381594696
2023-08-23,SOL,SOL-USD,20.55,21.75,20.45,21.7,404686524
2023-08-24,SOL,SOL-USD,21.71,21.99,20.75,21.03,328472951
2023-08-25,SOL,SOL-USD,21.04,21.05,20.15,20.39,278312420
2023-08-26,SOL,SOL-USD,20.39,20.4,20.22,20.28,144065112
2023-08-27,SOL,SOL-USD,20.28,20.87,20.26,20.79,177496132
2023-08-28,SOL,SOL-USD,20.79,20.79,20.17,20.56,200600033
2023-08-29,SOL,SOL-USD,20.56,21.98,20.13,21.78,469679540
2023-08-30,SOL,SOL-USD,21.78,21.93,20.64,20.83,292322455
2023-08-31,SOL,SOL-USD,20.83,21.01,19.55,19.74,343649256
2023-09-01,SOL,SOL-USD,19.73,19.91,19.09,19.33,286842939
2023-09-02,SOL,SOL-USD,19.33,19.67,19.19,19.49,200858690
2023-09-03,SOL,SOL-USD,19.49,19.66,19.28,19.58,164570332
2023-09-04,SOL,SOL-USD,19.58,19.95,19.24,19.5,220024399
2023-09-05,SOL,SOL-USD,19.5,20.55,19.09,20.27,387328289
2023-09-06,SOL,SOL-USD,20.27,20.35,19.22,19.62,313630984
2023-09-07,SOL,SOL-USD,19.62,19.97,19.37,19.89,242438252
2023-09-08,SOL,SOL-USD,19.89,20.21,19.42,19.6,219114497
2023-09-09,SOL,SOL-USD,19.6,19.6,19.4,19.45,101925453
2023-09-10,SOL,SOL-USD,19.45,19.45,17.87,18.25,520683204
2023-09-11,SOL,SOL-USD,18.25,18.41,17.46,17.74,380225621
2023-09-12,SOL,SOL-USD,17.74,18.66,17.61,17.93,361388393
2023-09-13,SOL,SOL-USD,17.93,18.51,17.74,18.4,356729875
2023-09-14,SOL,SOL-USD,18.4,19.27,18.4,18.84,349380172
2023-09-15,SOL,SOL-USD,18.84,19.41,18.59,19.17,205202282
2023-09-16,SOL,SOL-USD,19.17,19.42,18.92,19.14,146477836
2023-09-17,SOL,SOL-USD,19.14,19.14,18.71,18.83,112594680
2023-09-18,SOL,SOL-USD,18.83,20.1,18.65,19.66,316245106
2023-09-19,SOL,SOL-USD,19.66,20.36,19.61,20.04,253895801
2023-09-20,SOL,SOL-USD,20.04,20.48,19.85,20.3,233206126
2023-09-21,SOL,SOL-USD,20.3,20.3,19.37,19.48,253809695
2023-09-22,SOL,SOL-USD,19.48,19.77,19.22,19.44,170874161
2023-09-23,SOL,SOL-USD,19.44,19.56,19.31,19.47,97379053
2023-09-24,SOL,SOL-USD,19.47,19.66,19.31,19.37,115380619
2023-09-25,SOL,SOL-USD,19.37,19.7,19.22,19.4,163848456
2023-09-26,SOL,SOL-USD,19.4,19.51,18.94,19.02,170201883
2023-09-27,SOL,SOL-USD,19.02,19.45,18.77,19.13,210385139
2023-09-28,SOL,SOL-USD,19.13,19.96,19.11,19.96,225954938
2023-09-29,SOL,SOL-USD,19.96,20.42,19.88,20.3,219571069
2023-09-30,SOL,SOL-USD,20.3,21.73,20.12,21.4,328987954
2023-10-01,SOL,SOL-USD,21.39,24.4,21.17,23.84,637123111
2023-10-02,SOL,SOL-USD,23.84,24.6,22.98,23.37,658084028
2023-10-03,SOL,SOL-USD,23.37,24.66,23.3,23.55,653491878
2023-10-04,SOL,SOL-USD,23.56,23.75,22.69,23.14,429268875
